"ticker","rsi","rs","price","price_change","price_change_ratio","price_change_ratio_1m","id","title","source","publish_date"
"FIR","22.2","","6690","200","0.031","-0.292","11172577","FIR:  Thông báo ký kết hợp đồng kiểm toán, soát xét BCTC năm 2024","TCBS","2024-05-03 17:28:00"
"FIR","22.2","","6690","200","0.031","-0.292","11172580","FIR:  Bổ sung giải trình chênh lệch lợi nhuận sau thuế quý 2/2024 so với quý 2/2023","TCBS","2024-05-03 17:22:00"
"FIR","20","","6490","80","0.012","-0.307","11170886","FIR:  Giải trình chênh lệch LNST Q2/2024 so với cùng kỳ năm trước","TCBS","2024-05-02 18:16:00"
"FIR","37","","9250","30","0.003","-0.067","11131026","FIR:  Thông báo thay đổi nhân sự Giám đốc Tài chính","TCBS","2024-03-27 17:11:00"
"FIR","37","","9250","30","0.003","-0.067","11131028","FIR:  Thông báo thay đổi nhân sự người được ủy quyền CBTT","TCBS","2024-03-27 17:10:00"
"FIR","37","","9250","30","0.003","-0.067","11130629","FIR:  CBTT Nghị quyết HĐQT về việc ban hành Điều lệ và các Quy chế của Công ty","TCBS","2024-03-27 11:16:00"
"FIR","42.7","","9580","0","0","-0.088","11126249","FIR:  Thông báo thay đổi nhân sự","TCBS","2024-03-22 14:44:00"
"FIR","32.7","","9580","410","0.045","-0.088","11124692","First Real (FIR) không chia cổ tức năm 2023, lên kế hoạch 2024 lãi gấp 4 lần","TCBS","2024-03-21 16:42:00"
"FIR","32.7","","9580","410","0.045","-0.088","11124510","FIR:  Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2024","TCBS","2024-03-21 14:40:00"
"FIR","35.9","","9960","50","0.005","0.092","11100908","FIR:  Thông báo thời gian, địa điểm và link cung cấp tài liệu họp ĐHĐCĐ thường niên 2024","TCBS","2024-02-28 17:17:00"
"FIR","18.2","","9720","630","0.069","-0.266","11077307","Quỹ ngoại “rót” 10 triệu USD vào doanh nghiệp bất động sản First Real","TCBS","2024-02-15 11:00:00"
"FIT","44.5","37","4280","-110","-0.025","-0.04","11277913","FIT:  Thông báo thay đổi nhân sự Ban KTNB","TCBS","2024-08-01 16:11:00"
